type,limit,total
physpreset,276,33
physconstraints,198,0
destructibledef,128,0
xanim,25000,3174
xmodel,10240,916
xmodelmesh,34816,2693
material,20480,3394
computeshaderset,256,0
techset,1024,193
image,49152,6044
sound,32,1
sound_patch,16,0
col_map,2,1
com_map,2,1
game_map,2,1
map_ents,2,1
gfx_map,2,1
lightdef,32,0
lensflaredef,64,0
ui_map,0,0
font,16,0
fonticon,16,0
localize,25600,0
weapon,1536,121
weapondef,0,0
weaponvariant,0,0
weaponfull,0,0
cgmediatable,5,0
playersoundstable,16,0
playerfxtable,16,0
sharedweaponsounds,64,14
attachment,128,0
attachmentunique,2148,0
weaponcamo,512,36
customizationtable,8,0
customizationtable_feimages,8,0
customizationtablecolor,1024,0
snddriverglobals,1,0
fx,1875,563
tagfx,64,2
klf,64,22
impactsfxtable,256,18
impactsoundstable,64,15
player_character,8,0
aitype,96,9
character,150,34
xmodelalias,48,1
rawfile,5000,37
stringtable,200,4
structuredtable,96,1
leaderboarddef,256,0
ddl,64,0
glasses,2,0
texturelist,8,0
scriptparsetree,1024,124
keyvaluepairs,64,1
vehicle,64,0
addon_map_ents,1,0
tracer,100,21
slug,5,0
surfacefxtable,64,10
surfacesounddef,256,33
footsteptable,32,4
entityfximpacts,256,4
entitysoundimpacts,256,18
zbarrier,16,4
vehiclefxdef,32,0
vehiclesounddef,32,0
typeinfo,0,0
scriptbundle,1024,30
scriptbundlelist,64,0
rumble,256,23
bulletpenetration,1,0
locdmgtable,1,0
aimtable,12,1
animselectortable,64,4
animmappingtable,64,6
animstatemachine,64,4
behaviortree,64,4
behaviorstatemachine,128,0
ttf,48,0
sanim,1024,0
lightdescription,500,196
shellshock,64,1
xcam,512,1
bgcache,32,1
texturecombo,16,1
flametable,16,0
bitfield,52,0
attachmentcosmeticvariant,640,29
maptable,25,0
maptableloadingimages,25,0
medal,768,0
medaltable,32,0
objective,256,1
objectivelist,64,0
umbra_tome,0,0
navmesh,2,1
navvolume,2,1
binaryhtml,2048,0
laser,50,0
beam,50,2
streamerhint,50,0
